borough,block,lot,address,zip_code,development,managed_by,cd,facility,borocode,bbl
BROOKLYN,1470,22,1734 STERLING PLACE,11233,HOWARD AVENUE-PARK PLACE,PARK ROCK CONSOLIDATED,16,,3,3014700022
BROOKLYN,1470,23,1736 STERLING PLACE,11233,HOWARD AVENUE-PARK PLACE,PARK ROCK CONSOLIDATED,16,,3,3014700023
BROOKLYN,1470,52,1693 SAINT JOHNS PLACE,11233,HOWARD AVENUE-PARK PLACE,PARK ROCK CONSOLIDATED,16,,3,3014700052
BROOKLYN,1470,53,1691 SAINT JOHNS PLACE,11233,HOWARD AVENUE-PARK PLACE,PARK ROCK CONSOLIDATED,16,,3,3014700053
BROOKLYN,1470,55,1689 SAINT JOHNS PLACE,11233,HOWARD AVENUE-PARK PLACE,PARK ROCK CONSOLIDATED,16,,3,3014700055
BROOKLYN,1470,58,1687 SAINT JOHNS PLACE,11233,HOWARD AVENUE-PARK PLACE,PARK ROCK CONSOLIDATED,16,,3,3014700058
BROOKLYN,1470,73,504 HOWARD AVENUE,11233,HOWARD AVENUE-PARK PLACE,PARK ROCK CONSOLIDATED,16,BOILER,3,3014700073
BROOKLYN,1470,160,1679 SAINT JOHNS PLACE,11233,HOWARD AVENUE-PARK PLACE,PARK ROCK CONSOLIDATED,16,,3,3014700160
BROOKLYN,1471,1,515 HOWARD AVENUE,11233,HOWARD AVENUE-PARK PLACE,PARK ROCK CONSOLIDATED,16,,3,3014710001
BROOKLYN,1471,5,511 HOWARD AVENUE,11233,HOWARD AVENUE-PARK PLACE,PARK ROCK CONSOLIDATED,16,,3,3014710005
BROOKLYN,1471,6,509 HOWARD AVENUE,11233,HOWARD AVENUE-PARK PLACE,PARK ROCK CONSOLIDATED,16,,3,3014710006
BROOKLYN,1471,7,507 HOWARD AVENUE,11233,HOWARD AVENUE-PARK PLACE,PARK ROCK CONSOLIDATED,16,,3,3014710007
BROOKLYN,1471,8,505 HOWARD AVENUE,11233,HOWARD AVENUE-PARK PLACE,PARK ROCK CONSOLIDATED,16,,3,3014710008
BROOKLYN,1471,9,503 HOWARD AVENUE,11233,HOWARD AVENUE-PARK PLACE,PARK ROCK CONSOLIDATED,16,,3,3014710009
BROOKLYN,1471,10,501 HOWARD AVENUE,11233,HOWARD AVENUE-PARK PLACE,PARK ROCK CONSOLIDATED,16,BOILER,3,3014710010
BROOKLYN,1471,14,1790 STERLING PLACE,11233,HOWARD AVENUE-PARK PLACE,PARK ROCK CONSOLIDATED,16,,3,3014710014
BROOKLYN,1471,15,1792 STERLING PLACE,11233,HOWARD AVENUE-PARK PLACE,PARK ROCK CONSOLIDATED,16,,3,3014710015
BROOKLYN,1471,16,1794 STERLING PLACE,11233,HOWARD AVENUE-PARK PLACE,PARK ROCK CONSOLIDATED,16,BOILER,3,3014710016
BROOKLYN,1471,18,1800 STERLING PLACE,11233,HOWARD AVENUE-PARK PLACE,PARK ROCK CONSOLIDATED,16,,3,3014710018
BROOKLYN,1471,19,1802 STERLING PLACE,11233,HOWARD AVENUE-PARK PLACE,PARK ROCK CONSOLIDATED,16,,3,3014710019
BROOKLYN,1471,20,1804 STERLING PLACE,11233,HOWARD AVENUE-PARK PLACE,PARK ROCK CONSOLIDATED,16,,3,3014710020
BROOKLYN,1471,59,1749 SAINT JOHNS PLACE,11233,HOWARD AVENUE-PARK PLACE,PARK ROCK CONSOLIDATED,16,PARKING LOT,3,3014710059
BROOKLYN,1635,126,744 GATES AVENUE,11221,STUYVESANT GARDENS I,STUYVESANT GARDENS I,3,,3,3016350126
BROOKLYN,1809,1,775 MARCY AVENUE,11216,ARMSTRONG II,ARMSTRONG I,3,,3,3018090001
BROOKLYN,1889,22,99 WAVERLY AVENUE,11205,FHA REPOSSESSED HOUSES (GROUP IX),BAISLEY PARK,2,,3,3018890022
BROOKLYN,1889,34,75 WAVERLY AVENUE,11205,FHA REPOSSESSED HOUSES (GROUP IX),BAISLEY PARK,2,,3,3018890034
BROOKLYN,1889,36,71 WAVERLY AVENUE,11205,FHA REPOSSESSED HOUSES (GROUP IX),BAISLEY PARK,2,,3,3018890036
BROOKLYN,2175,30,70 CLYMER STREET,11249,TAYLOR STREET-WYTHE AVENUE,TAYLOR STREET-WYTHE AVENUE,1,STORAGE ROOM,3,3021750030
BROOKLYN,3148,1,25 CENTRAL AVENUE,11206,POLICE SERVICE AREA #3,NYPD HOUSING BUREAU,4,PSA #3 PRECINCT HOUSE (PRIMARY ADDRESS)/ BOILER,3,3031480001
BROOKLYN,3324,19, ,11237,HOPE GARDENS,HOPE GARDENS,4,QUONSET HUT,3,3033240019
BROOKLYN,3415,39,85 COVERT STREET,11207,BUSHWICK II (GROUPS A & C),HOPE GARDENS,4,BOILER,3,3034150039
BROOKLYN,3787,1,398 SHEFFIELD AVENUE,11207,LONG ISLAND BAPTIST HOUSES,UNITY PLAZA,5,,3,3037870001
BROOKLYN,4431,100,17 VANDALIA AVENUE,11239,VANDALIA AVENUE,PENNSYLVANIA-WORTMAN,5,DEVELOPMENT MANAGEMENT OFFICE/ LAUNDRY ROOM/ ROOFTOP LEASE LOCATION,3,3044310100
BROOKLYN,7015,40,2301 MERMAID AVENUE,11224,POLICE SERVICE AREA #1,NYPD HOUSING BUREAU,13,,3,3070150040
MANHATTAN,256,14,278 CHERRY STREET,10002,LA GUARDIA ADDITION,LA GUARDIA,3,,1,1002560014
MANHATTAN,908,27,243 EAST 27TH STREET,10016,STRAUS,STRAUS,6,PLASTERERS SHOP,1,1009080027
MANHATTAN,1156,20,243 WEST 64TH STREET,10023,AMSTERDAM ADDITION,AMSTERDAM,7,DAY CARE CENTER,1,1011560020
MANHATTAN,1214,55,152 WEST 84TH STREET,10024,154 WEST 84TH STREET,KRAUS MANAGEMENT (PRIVATE - M/B 1),7,,1,1012140055
MANHATTAN,1777,5,111 EAST 128TH STREET,10035,ROBINSON,ROBINSON,11,"STOREROOM/ SECONDARY STOREROOM USED FOR STORAGE OF BULK ITEMS (WINDOW GUARDS,BALLANCES,FIXTURES ETC)",1,1017770005
MANHATTAN,2012,25,669 LENOX AVENUE,10037,SAMUEL (CITY),SAMUEL,10,COMMUNITY CENTER/ DAY CARE CENTER/ BOILER,1,1020120025
MANHATTAN,2027,25,2430 A C POWELL BOULEVARD,10030,DREW-HAMILTON,DREW-HAMILTON,10,,1,1020270025
MANHATTAN,2028,1,2672 FREDERICK DOUGLASS BOULEVARD,10030,DREW-HAMILTON,DREW-HAMILTON,10,DAY CARE CENTER,1,1020280001
QUEENS,16083,37,71-15 BEACH CHANNEL DRIVE,11692,CARLETON MANOR,HAMMEL,14,SATELLITE DEVELOPMENT MANAGEMENT OFFICE/ DAY CARE CENTER/ BOILER/ LAUNDRY ROOM/ ROOFTOP LEASE LOCATION/ STOREROOM,4,4160830037
STATEN ISLAND,71,1,105 CASSIDY PLACE,10301,CASSIDY-LAFAYETTE,RICHMOND TERRACE,1,SATELLITE DEVELOPMENT MANAGEMENT OFFICE/ PLASTERERS SHOP STORAGE ROOM/ 2 PAINT SHOPS STORAGE,5,5000710001
STATEN ISLAND,71,11,135 CASSIDY PLACE,10301,CASSIDY-LAFAYETTE,RICHMOND TERRACE,1,BOILER/ TENANT ASSOCIATION ROOM/ REFRIGERATOR AND STOVE STORAGE ROOM/ELEVATOR MECHANIC SHOP STORAGE ROOM/ EXTERMINATOR SHOP STORAGE ROOM,5,5000710011
BRONX,2215,623,5365 BROADWAY,10463,MARBLE HILL,MARBLE HILL,8,COMMUNITY CENTER / SENIOR CENTER,2,2022150623
BRONX,2271,20,427 SAINT ANNS AVENUE,10454,"BETANCES III, 9A",BETANCES,1,BOILER,2,2022710020
BRONX,2272,119,550 EAST 147TH STREET,10455,BETANCES VI,BETANCES,1,BOILER,2,2022720119
BRONX,2281,10,408 EAST 137TH STREET,10454,"BETANCES II, 18",MITCHEL,1,COMMERCIAL SPACE (STORE #1)/ UCP STORAGE ROOM,2,2022810010
BRONX,2287,135,480 EAST 143RD STREET,10454,BETANCES IV,BETANCES,1,BOILER/ PLASTERERS SHOP,2,2022870135
BRONX,2291,1,400 EAST 147TH STREET,10455,BETANCES VI,BETANCES,1,BOILER,2,2022910001
BRONX,2402,9,362 EAST 156TH STREET,10455,POLICE SERVICE AREA #7,NYPD HOUSING BUREAU,1,PSA #7 PARKING LOT,2,2024020009
BRONX,2420,9020,3071 PARK AVENUE,10451,MORRISANIA AIR RIGHTS,MORRISANIA AIR RIGHTS,4,CARPENTERS STORAGE,2,2024209020
BRONX,2427,22,1278 CLAY AVENUE,10456,CLAREMONT REHAB (GROUP 2),CLAREMONT CONSOLIDATED,4,COMMERCIAL SPACE (STORE #1)/ BOILER,2,2024270022
BRONX,2429,1,1100 TELLER AVENUE,10456,TELLER AVENUE-EAST 166TH STREET,CLAREMONT CONSOLIDATED,4,BOILER,2,2024290001
BRONX,2433,1,1020 COLLEGE AVENUE,10456,COLLEGE AVENUE-EAST 165TH STREET,CLAREMONT CONSOLIDATED,4,COMMUNITY OPERATIONS SPACE (VACANT)/ BOILER/ LAUNDRY ROOM/ HPT SHOP,2,2024330001
BRONX,2515,6,1182 NELSON AVENUE,10452,HIGHBRIDGE REHABS (NELSON AVENUE),KRAUS MANAGEMENT (PRIVATE - BX 2),4,,2,2025150006
BRONX,2568,12,695 EAST 139TH STREET,10454,"BETANCES III, 13",MILL BROOK,1,,2,2025680012
BRONX,2620,36,905 EAGLE AVENUE,10456,EAGLE AVENUE-EAST 163RD STREET,FOREST,3,BOILER,2,2026200036
BRONX,2623,135,550 CAULDWELL AVENUE,10455,SAINT MARY'S PARK,SAINT MARY'S PARK,1,MAINTENANCE SHOP,2,2026230135
BRONX,2748,25,1100 EAST 165TH STREET,10459,EAST 165TH STREET-BRYANT AVENUE,BUILDING MANAGEMENT ASSOCIATES (PRIVATE - BX 1),2,BOILER,2,2027480025
BRONX,2751,15,1002 EAST 167TH STREET,10459,WEST FARMS ROAD REHAB,BUILDING MANAGEMENT ASSOCIATES (PRIVATE - BX 1),2,STOREROOMS,2,2027510015
BRONX,2879,30,1925 UNIVERSITY AVENUE,10453,UNIVERSITY AVENUE REHAB,KRAUS MANAGEMENT (PRIVATE - BX 3),5,"COMMUNITY OPERATIONS SPACE/ COMMERCIAL SPACE (STORES #1, 2)/ BOILER",2,2028790030
BRONX,2931,66,1381 FRANKLIN AVENUE,10456,FRANKLIN AVENUE I CONVENTIONAL,KRAUS MANAGEMENT (PRIVATE - BX 2),3,COMMUNITY ROOM/ STORAGE ROOM,2,2029310066
BRONX,2931,68,1377 FRANKLIN AVENUE,10456,FRANKLIN AVENUE I CONVENTIONAL,KRAUS MANAGEMENT (PRIVATE - BX 2),3,FIVE STORAGE ROOMS,2,2029310068
BRONX,2931,70,1373 FRANKLIN AVENUE,10456,FRANKLIN AVENUE I CONVENTIONAL,KRAUS MANAGEMENT (PRIVATE - BX 2),3,FIVE STORAGE ROOMS,2,2029310070
BRONX,2931,86,1315 FRANKLIN AVENUE,10456,CLAREMONT PARKWAY-FRANKLIN AVENUE,UNION AVENUE CONSOLIDATED,3,SENIOR CENTER,2,2029310086
BRONX,2997,30,1705 BRYANT AVENUE,10460,BRYANT AVENUE-EAST 174TH STREET,BUILDING MANAGEMENT ASSOCIATES (PRIVATE - BX 1),3,COMMUNITY ROOM (VACANT)/ BOILER,2,2029970030
BRONX,3143,167,386 FORD STREET,10457,TWIN PARKS WEST (SITES 1 & 2),TWIN PARKS CONSOLIDATED,5,DEVELOPMENT GROUNDS,2,2031430167
BRONX,3143,206,380 EAST 183RD STREET,10457,TWIN PARKS WEST (SITES 1 & 2),TWIN PARKS CONSOLIDATED,5,DEVELOPMENT GROUNDS,2,2031430206
BRONX,3143,234,371 EAST 183RD STREET,10458,TWIN PARKS WEST (SITES 1 & 2),TWIN PARKS CONSOLIDATED,5,PARKING LOT,2,2031430234
BRONX,3143,236,394 EAST 184TH STREET,10458,TWIN PARKS WEST (SITES 1 & 2),TWIN PARKS CONSOLIDATED,5,PARKING LOT,2,2031430236
BRONX,3573,1,2275 RANDALL AVENUE,10473,CASTLE HILL,CASTLE HILL,9,,2,2035730001
BRONX,3594,1,710 NOBLE AVENUE,10473,SACK WERN,SACK WERN,9,COMMUNITY OPERATIONS SPACE/ BOILER,2,2035940001
BRONX,3598,17,740 BEACH AVENUE,10473,SACK WERN,SACK WERN,9,BOILER,2,2035980017
BRONX,3737,1,1471 WATSON AVENUE,10472,1471 WATSON AVENUE,SOTOMAYOR HOUSES,9,BOILER,2,2037370001
BRONX,3866,31,1350 MANOR AVENUE,10472,BRONX RIVER ADDITION,BRONX RIVER,9,,2,2038660031
BRONX,3868,33,1630 EAST 174TH STREET,10472,BRONX RIVER ADDITION,BRONX RIVER,9,BRICKLAYERS SHOP/ ROOFER SHOP,2,2038680033
BRONX,3963,43,2125 GLEBE AVENUE,10462,GLEBE AVENUE-WESTCHESTER AVENUE,SOTOMAYOR HOUSES,10,SENIOR CENTER/ BOILER/ LAUNDRY ROOM,2,2039630043
BRONX,4507,48,660 ARNOW AVENUE,10467,PARKSIDE,PARKSIDE,11,,2,2045070048
BROOKLYN,1344,175,1737 BERGEN STREET,11233,KINGSBOROUGH EXTENSION,KINGSBOROUGH,8,,3,3013440175
BROOKLYN,1373,40,1480 PARK PLACE,11213,PARK ROCK REHAB,PARK ROCK CONSOLIDATED,8,,3,3013730040
BROOKLYN,1379,39,230 ROCHESTER AVENUE,11213,PARK ROCK REHAB,PARK ROCK CONSOLIDATED,8,,3,3013790039
BROOKLYN,1431,43,334 HOWARD AVENUE,11233,OCEAN HILL-BROWNSVILLE,PARK ROCK CONSOLIDATED,16,,3,3014310043
BROOKLYN,1470,1,555 RALPH AVENUE,11233,HOWARD AVENUE-PARK PLACE,PARK ROCK CONSOLIDATED,16,,3,3014700001
BROOKLYN,1471,53,1483 EASTERN PARKWAY,11233,HOWARD AVENUE-PARK PLACE,PARK ROCK CONSOLIDATED,16,DEVELOPMENT GROUNDS,3,3014710053
BROOKLYN,1471,57,1755 SAINT JOHNS PLACE,11233,HOWARD AVENUE-PARK PLACE,PARK ROCK CONSOLIDATED,16,DEVELOPMENT GROUNDS,3,3014710057
BROOKLYN,1595,1,93 LEWIS AVENUE,11206,ROOSEVELT II,ROOSEVELT,3,PLASTERERS SHOP,3,3015950001
BROOKLYN,1601,24,128 LEWIS AVENUE,11221,ROOSEVELT I,ROOSEVELT,3,CARPENTERS SHOP/ GLAZIERS SHOP/ PAINT SHOP,3,3016010024
BROOKLYN,1631,9,690 QUINCY STREET,11221,STUYVESANT GARDENS I,STUYVESANT GARDENS I,3,CARPENTERS SHOP,3,3016310009
BROOKLYN,1794,54,545 GREENE AVENUE,11216,ARMSTRONG I,ARMSTRONG I,3,GLAZIERS SHOP,3,3017940054
BROOKLYN,1794,121,366 CLIFTON PLACE,11216,ARMSTRONG I,ARMSTRONG I,3,,3,3017940121
BROOKLYN,1794,139,388 CLIFTON PLACE,11216,ARMSTRONG I,ARMSTRONG I,3,,3,3017940139
BROOKLYN,1802,44,252A LEXINGTON AVENUE,11216,ARMSTRONG I,ARMSTRONG I,3,NYCHA SOCIAL SERVICES OFFICE,3,3018020044
BROOKLYN,1803,27,310 LEXINGTON AVENUE,11216,ARMSTRONG I,ARMSTRONG I,3,,3,3018030027
BROOKLYN,1803,42,330 LEXINGTON AVENUE,11216,ARMSTRONG I,ARMSTRONG I,3,,3,3018030042
BROOKLYN,1808,174,435 GATES AVENUE,11216,ARMSTRONG I,ARMSTRONG I,3,,3,3018080174
BROOKLYN,2073,46,182 ADELPHI STREET,11205,FHA REPOSSESSED HOUSES (GROUP IX),BAISLEY PARK,2,,3,3020730046
BROOKLYN,2145,18,440 BERRY STREET,11249,BERRY STREET-SOUTH 9TH STREET,TOMPKINS,1,BOILER,3,3021450018
BROOKLYN,2175,80,51 ROSS STREET,11249,TAYLOR STREET-WYTHE AVENUE,TAYLOR STREET-WYTHE AVENUE,1,CARPENTERS SHOP,3,3021750080
BROOKLYN,3025,70,195 GRAHAM AVENUE,11206,WILLIAMSBURG,WILLIAMSBURG,1,COMMUNITY CENTER/ BOILER,3,3030250070
BROOKLYN,3332,1,415 EVERGREEN AVENUE,11221,BUSHWICK II (GROUPS B & D),HOPE GARDENS,4,BOILER,3,3033320001
BROOKLYN,3350,28,420 CENTRAL AVENUE,11221,BUSHWICK II (GROUPS B & D),HOPE GARDENS,4,,3,3033500028
BROOKLYN,3410,33,580 CENTRAL AVENUE,11207,BUSHWICK II (GROUPS A & C),HOPE GARDENS,4,BOILER,3,3034100033
BROOKLYN,3507,1,360 MOTHER GASTON BOULEVARD,11212,GLENMORE PLAZA,LOW HOUSES,16,CONTRACTOR PAINT SHOP/ NYCHA PAINT SHOP,3,3035070001
BROOKLYN,3509,59,2058 UNION STREET,11212,SUTTER AVENUE-UNION STREET,REID APARTMENTS,16,BOILER,3,3035090059
BROOKLYN,3510,1,2069 UNION STREET,11212,SUTTER AVENUE-UNION STREET,REID APARTMENTS,16,BOILER,3,3035100001
BROOKLYN,3510,11,2045 UNION STREET,11212,SUTTER AVENUE-UNION STREET,REID APARTMENTS,16,BOILER,3,3035100011
BROOKLYN,3532,30,104 TAPSCOTT STREET,11212,104-14 TAPSCOTT STREET,REID APARTMENTS,16,BOILER,3,3035320030
BROOKLYN,3549,41,182 TAPSCOTT STREET,11212,TAPSCOTT STREET REHAB,REID APARTMENTS,16,DEVELOPMENT GROUNDS,3,3035490041
BROOKLYN,3550,6,199 TAPSCOTT STREET,11212,TAPSCOTT STREET REHAB,REID APARTMENTS,16,BOILER,3,3035500006
BROOKLYN,3550,11,187 TAPSCOTT STREET,11212,TAPSCOTT STREET REHAB,REID APARTMENTS,16,BOILER,3,3035500011
BROOKLYN,3550,16,175 TAPSCOTT STREET,11212,TAPSCOTT STREET REHAB,REID APARTMENTS,16,BOILER,3,3035500016
BROOKLYN,3550,34,728 HOWARD AVENUE,11212,TAPSCOTT STREET REHAB,REID APARTMENTS,16,BOILER,3,3035500034
BROOKLYN,3724,29,2155 PITKIN AVENUE,11207,FIORENTINO PLAZA,UNITY PLAZA,5,,3,3037240029
BROOKLYN,3767,32,322 WILLIAMS AVENUE,11207,LONG ISLAND BAPTIST HOUSES,UNITY PLAZA,5,DEVELOPMENT GROUNDS,3,3037670032
BROOKLYN,3767,36,340 WILLIAMS AVENUE,11207,LONG ISLAND BAPTIST HOUSES,UNITY PLAZA,5,,3,3037670036
BROOKLYN,3768,18,550 SUTTER AVENUE,11207,LONG ISLAND BAPTIST HOUSES,UNITY PLAZA,5,BOILER,3,3037680018
BROOKLYN,3769,30,340 GEORGIA AVENUE,11207,"UNITY PLAZA (SITES 17,24,25A)",UNITY PLAZA,5,BRICKLAYERS SHOP/ PAINT SHOP/ PLASTERERS SHOP,3,3037690030
BROOKLYN,3770,1,611 BLAKE AVENUE,11207,"UNITY PLAZA (SITES 17,24,25A)",UNITY PLAZA,5,CARPENTERS SHOP/ EXTERMINATOR SHOP/ MAINTENANCE SHOP/ GROUND SHOP/ PLUMBERS SHOP/ STOREROOM APPLIANCE STORAGE,3,3037700001
BROOKLYN,3780,1,365 POWELL STREET,11212,WOODSON,WOODSON,16,CARETAKER X-SHOP/ CLASS STORAGE ROOM,3,3037800001
BROOKLYN,3787,5,391 GEORGIA AVENUE,11207,UNITY PLAZA (SITES 4-27),UNITY PLAZA,5,,3,3037870005
BROOKLYN,4070,16,359 BERRIMAN STREET,11208,FHA REPOSSESSED HOUSES (GROUP IX),BAISLEY PARK,5,,3,3040700016
BROOKLYN,4070,19,353 BERRIMAN STREET,11208,FHA REPOSSESSED HOUSES (GROUP IX),BAISLEY PARK,5,,3,3040700019
BROOKLYN,4070,21,349 BERRIMAN STREET,11208,FHA REPOSSESSED HOUSES (GROUP IX),BAISLEY PARK,5,,3,3040700021
BROOKLYN,4070,24,341 BERRIMAN STREET,11208,FHA REPOSSESSED HOUSES (GROUP IX),BAISLEY PARK,5,,3,3040700024
BROOKLYN,4375,50,696 STANLEY AVENUE,11207,LINDEN,LINDEN,5,BOILER (ALSO SERVES BOULEVARD),3,3043750050
BROOKLYN,4454,30,458 ATKINS AVENUE,11208,FHA REPOSSESSED HOUSES (GROUP IX),BAISLEY PARK,5,,3,3044540030
BROOKLYN,4481,4,1078 HEGEMAN AVENUE,11208,EAST NEW YORK CITY LINE,CYPRESS HILLS,5,BOILER,3,3044810004
BROOKLYN,4481,59,761 LOGAN STREET,11208,EAST NEW YORK CITY LINE,CYPRESS HILLS,5,,3,3044810059
BROOKLYN,4609,13,140 EAST 91ST STREET,11212,FHA REPOSSESSED HOUSES (GROUP IX),BAISLEY PARK,17,,3,3046090013
BROOKLYN,7046,22,2950 WEST 35TH STREET,11224,CONEY ISLAND I (SITE 8),O'DWYER GARDENS,13,COMMUNITY ROOM/ NORC/ BOILER,3,3070460022
MANHATTAN,245,1,286 SOUTH STREET,10002,TWO BRIDGES URA (SITE 7),LA GUARDIA,3,COMMUNITY CENTER /OFFICE SPACE (IS USED BY CHINATOWN PARTNERSHIP LOCAL DEV CORP)/ BOILER/ JANITORIAL STORAGE ROOM,1,1002450001
MANHATTAN,307,1,45 ALLEN STREET,10002,45 ALLEN STREET,GOMPERS,3,MANHATTAN SOCIAL SERVICES BOROUGH OFFICE/ BOILER,1,1003070001
MANHATTAN,347,80,154 BROOME STREET,10002,SEWARD PARK EXTENSION,GOMPERS,3,BOILER/ CONTRACTOR PAINT SHOP/ NYCHA PAINT SHOP/ PLASTERERS SHOP/ BRICKLAYERS STOREROOM/ CARPENTRY STOREROOM,1,1003470080
MANHATTAN,375,63,709 EAST 5TH STREET,10009,LOWER EAST SIDE II,LOWER EAST SIDE CONSOLIDATED,3,,1,1003750063
MANHATTAN,389,32,99 AVENUE C,10009,LOWER EAST SIDE REHAB (GROUP 5),LOWER EAST SIDE CONSOLIDATED,3,"COMMERCIAL SPACE (STORES #4, 5)/ BOILER",1,1003890032
MANHATTAN,389,36,89 AVENUE C,10009,LOWER EAST SIDE REHAB (GROUP 5),LOWER EAST SIDE CONSOLIDATED,3,"COMMERCIAL SPACE (STORES #1, 2, 3)/ BOILER",1,1003890036
MANHATTAN,417,1,187 ALLEN STREET,10002,HERNANDEZ,GOMPERS,3,BOILER,1,1004170001
MANHATTAN,717,19,401 WEST 19TH STREET,10011,FULTON,FULTON,4,,1,1007170019
MANHATTAN,724,10,441 WEST 26TH STREET,10001,CHELSEA ADDITION,CHELSEA,4,COMMUNITY CENTER/ MENTAL HEALTH CLINIC/ NORC/ DAY CARE CENTER,1,1007240010
MANHATTAN,724,15,427 WEST 26TH STREET,10001,ELLIOTT,CHELSEA,4,BOILER/ REFRIGERATOR STOREROOM,1,1007240015
MANHATTAN,1219,1,587 AMSTERDAM AVENUE,10024,WSUR (SITE C) 589 AMSTERDAM AVENUE,WISE TOWERS,7,,1,1012190001
MANHATTAN,1445,23,341 EAST 70TH STREET,10021,ROBBINS PLAZA,ISAACS,8,SATELLITE DEVELOPMENT MANAGEMENT OFFICE/ LAUNDRY ROOM,1,1014450023
MANHATTAN,1632,1,1405 PARK AVENUE,10029,CLINTON,CLINTON,11,BOILER/ STOREROOM,1,1016320001
MANHATTAN,1662,16,2185 2ND AVENUE,10029,JEFFERSON,JEFFERSON,11,,1,1016620016
MANHATTAN,1688,45,307 EAST 116TH STREET,10029,CORSI HOUSES,JEFFERSON,11,COMMUNITY OPERATIONS SPACE / SENIOR CENTER,1,1016880045
MANHATTAN,1827,42,218 WEST 112TH STREET,10026,REHAB PROGRAM (TAFT REHABS),KRAUS MANAGEMENT (PRIVATE - M/B 1),10,BOILER,1,1018270042
MANHATTAN,1872,29,830 AMSTERDAM AVENUE,10025,830 AMSTERDAM AVENUE,DOUGLASS,7,BOILER,1,1018720029
MANHATTAN,1874,29,868 AMSTERDAM AVENUE,10025,DOUGLASS ADDITION,DOUGLASS,7,SENIOR CENTER/ BOILER/ ROOFTOP LEASE LOCATION,1,1018740029
MANHATTAN,1987,17,529 WEST 133RD STREET,10027,MANHATTANVILLE REHAB (GROUP 3),MANHATTANVILLE,9,BOILER,1,1019870017
MANHATTAN,2008,13,120 WEST 140TH STREET,10030,PUBLIC SCHOOL 139 (CONVERSION),DREW-HAMILTON,10,SENIOR CENTER/ BOILER/ LAUNDRY ROOM,1,1020080013
MANHATTAN,2009,1,2401 A C POWELL BOULEVARD,10030,SAMUEL (MHOP) I,KRAUS MANAGEMENT (PRIVATE - M/B 1),10,BOILER,1,1020090001
MANHATTAN,2011,9,151 WEST 142ND STREET,10030,SAMUEL (MHOP) III,KRAUS MANAGEMENT (PRIVATE - M/B 1),10,BOILER,1,1020110009
MANHATTAN,2012,1,2461 A C POWELL BOULEVARD,10030,SAMUEL (CITY),SAMUEL,10,COMMERCIAL SPACE (STORE #1),1,1020120001
MANHATTAN,2012,9,155 WEST 143RD STREET,10030,SAMUEL (CITY),SAMUEL,10,DEVELOPMENT GROUNDS,1,1020120009
MANHATTAN,2012,23,111 WEST 143RD STREET,10030,SAMUEL (CITY),SAMUEL,10,PARKING LOT,1,1020120023
MANHATTAN,2012,61,2477 A C POWELL BOULEVARD,10030,SAMUEL (CITY),SAMUEL,10,COMMERCIAL SPACE (STORE #1)/ BOILER,1,1020120061
MANHATTAN,2029,1,2690 FREDERICK DOUGLASS BOULEVARD,10030,DREW-HAMILTON,DREW-HAMILTON,10,HEALTH CLINIC,1,1020290001
MANHATTAN,2116,33,1968 AMSTERDAM AVENUE,10032,MARSHALL PLAZA,HARLEM RIVER,12,,1,1021160033
MANHATTAN,2132,100,506 WEST 177TH STREET,10033,WASHINGTON HEIGHTS REHAB (GROUPS 1&2),FORT WASHINGTON,12,BOILER,1,1021320100
MANHATTAN,2136,235,99 FORT WASHINGTON AVENUE,10032,FORT WASHINGTON AVENUE REHAB,FORT WASHINGTON,12,"DEVELOPMENT MANAGEMENT OFFICE/ SENIOR CENTER / COMMERCIAL SPACE (STORES #1, 2) IS USED BY HEALTH CLINIC/ MAIN STOREROOM IS USED FOR MAINTENANCE/ PLUMBING AND HEATING SUPPLIES STOREROOM/ LAUNDRY ROOM",1,1021360235
QUEENS,10043,19,144-29 105TH AVENUE,11435,FHA REPOSSESSED HOUSES (GROUP V),BAISLEY PARK,12,,4,4100430019
QUEENS,10873,24,100-38 FRANCIS LEWIS BOULEVARD,11429,FHA REPOSSESSED HOUSES (GROUP III),BAISLEY PARK,12,,4,4108730024
QUEENS,11058,7,116-31 FARMERS BOULEVARD,11412,FHA REPOSSESSED HOUSES (GROUP VI),BAISLEY PARK,12,,4,4110580007
QUEENS,11058,15,116-17 FARMERS BOULEVARD,11412,FHA REPOSSESSED HOUSES (GROUP V),BAISLEY PARK,12,,4,4110580015
QUEENS,11134,46,113-44 SPRINGFIELD BOULEVARD,11429,FHA REPOSSESSED HOUSES (GROUP VI),BAISLEY PARK,13,,4,4111340046
QUEENS,12058,205,129-04 142ND STREET,11436,FHA REPOSSESSED HOUSES (GROUP II),BAISLEY PARK,12,,4,4120580205
QUEENS,12462,19,178-14 BAISLEY BOULEVARD,11434,FHA REPOSSESSED HOUSES (GROUP I),BAISLEY PARK,12,,4,4124620019
QUEENS,15502,2,1502 BEACH 12TH STREET,11691,FHA REPOSSESSED HOUSES (GROUP I),BAISLEY PARK,14,,4,4155020002
QUEENS,15502,3,1504 BEACH 12TH STREET,11691,FHA REPOSSESSED HOUSES (GROUP I),BAISLEY PARK,14,,4,4155020003
QUEENS,15890,64,53-05 BEACH CHANNEL DRIVE,11691,OCEAN BAY APARTMENTS (OCEANSIDE),BEACH 41ST STREET-BEACH CHANNEL DRIVE,14,VACANT BUILDING WITH TWO STOREFRONTS,4,4158900064
